,Tmc,Direction,stationid,highwayid,RoadNumb_1,direction,bound,standardized_direction_portal,standardized_direction_inrix,StartLat,StartLong,milepost,lon,lat,highwayname
21239,114P04470,Northbound,1643,52,I-5,EAST,EB,EAST,NORTH,45.64475,-122.66168,0.66,-122.650041,45.650498,SR 500
21239,114P04470,Northbound,1644,53,I-5,WEST,WB,WEST,NORTH,45.64475,-122.66168,0.66,-122.649986,45.650627,SR 500
21595,114+04474,Northbound,1514,501,I-5,NORTH,NB,NORTH,NORTH,45.69932,-122.65787,6.31,-122.654888,45.70507,WA I-5
21595,114+04474,Northbound,1514,501,I-5,NORTH,NB,NORTH,NORTH,45.69932,-122.65787,6.31,-122.654888,45.70507,WA I-5
21595,114+04474,Northbound,1514,501,I-5,NORTH,NB,NORTH,NORTH,45.69932,-122.65787,6.31,-122.654888,45.70507,WA I-5
21595,114+04474,Northbound,1514,501,I-5,NORTH,NB,NORTH,NORTH,45.69932,-122.65787,6.31,-122.654888,45.70507,WA I-5
21599,114N04473,Southbound,1511,502,I-5,SOUTH,SB,SOUTH,SOUTH,45.69785,-122.65893,5.29,-122.662359,45.691187,WA I-5
21621,114N04472,Southbound,1555,502,I-5,SOUTH,SB,SOUTH,SOUTH,45.6835,-122.66472,4.25,-122.664671,45.676586,WA I-5
21625,114P04472,Northbound,1554,501,I-5,NORTH,NB,NORTH,NORTH,45.67309,-122.66436,4.25,-122.664438,45.676581,WA I-5
21785,114+04365,Westbound,1526,51,WA-14,WEST,WB,WEST,WEST,45.61203,-122.58962,4.32,-122.586248,45.611337,SR 14
21785,114+04365,Westbound,1526,51,WA-14,WEST,WB,WEST,WEST,45.61203,-122.58962,4.32,-122.586248,45.611337,SR 14
21855,114P04405,Northbound,1631,50,I-205,EAST,EB,EAST,NORTH,45.60307,-122.55122,6.3,-122.547092,45.602676,SR 14
21855,114P04405,Northbound,1631,50,I-205,EAST,EB,EAST,NORTH,45.60307,-122.55122,6.3,-122.547092,45.602676,SR 14
21855,114P04405,Northbound,1632,51,I-205,WEST,WB,WEST,NORTH,45.60307,-122.55122,6.3,-122.547206,45.602824,SR 14
21855,114P04405,Northbound,1632,51,I-205,WEST,WB,WEST,NORTH,45.60307,-122.55122,6.3,-122.547206,45.602824,SR 14
21903,114N04407,Southbound,1617,52,I-205,EAST,EB,EAST,SOUTH,45.66342,-122.57717,3.97,-122.587026,45.654407,SR 500
21903,114N04407,Southbound,1617,52,I-205,EAST,EB,EAST,SOUTH,45.66342,-122.57717,3.97,-122.587026,45.654407,SR 500
21903,114N04407,Southbound,1617,52,I-205,EAST,EB,EAST,SOUTH,45.66342,-122.57717,3.97,-122.587026,45.654407,SR 500
21903,114N04407,Southbound,1617,52,I-205,EAST,EB,EAST,SOUTH,45.66342,-122.57717,3.97,-122.587026,45.654407,SR 500
21903,114N04407,Southbound,1640,55,I-205,SOUTH,SB,SOUTH,SOUTH,45.66342,-122.57717,31.53,-122.577815,45.664364,WA I-205
21903,114N04407,Southbound,1640,55,I-205,SOUTH,SB,SOUTH,SOUTH,45.66342,-122.57717,31.53,-122.577815,45.664364,WA I-205
21903,114N04407,Southbound,1640,55,I-205,SOUTH,SB,SOUTH,SOUTH,45.66342,-122.57717,31.53,-122.577815,45.664364,WA I-205
21942,114P04407,Northbound,1639,54,I-205,NORTH,NB,NORTH,NORTH,45.65097,-122.56654,31.53,-122.577402,45.664477,WA I-205
21942,114P04407,Northbound,1639,54,I-205,NORTH,NB,NORTH,NORTH,45.65097,-122.56654,31.53,-122.577402,45.664477,WA I-205
21942,114P04407,Northbound,1639,54,I-205,NORTH,NB,NORTH,NORTH,45.65097,-122.56654,31.53,-122.577402,45.664477,WA I-205
22166,114P04366,Westbound,1630,51,WA-14,WEST,WB,WEST,WEST,45.61862,-122.63422,0.58,-122.661711,45.61931,SR 14
22166,114P04366,Westbound,1630,51,WA-14,WEST,WB,WEST,WEST,45.61862,-122.63422,0.58,-122.661711,45.61931,SR 14
22166,114P04366,Westbound,1501,50,WA-14,EAST,EB,EAST,WEST,45.61862,-122.63422,1.55,-122.642281,45.618513,SR 14
22166,114P04366,Westbound,1501,50,WA-14,EAST,EB,EAST,WEST,45.61862,-122.63422,1.55,-122.642281,45.618513,SR 14
22166,114P04366,Westbound,1501,50,WA-14,EAST,EB,EAST,WEST,45.61862,-122.63422,1.55,-122.642281,45.618513,SR 14
22166,114P04366,Westbound,1501,50,WA-14,EAST,EB,EAST,WEST,45.61862,-122.63422,1.55,-122.642281,45.618513,SR 14
22166,114P04366,Westbound,1502,51,WA-14,WEST,WB,WEST,WEST,45.61862,-122.63422,1.55,-122.642301,45.618626,SR 14
22166,114P04366,Westbound,1502,51,WA-14,WEST,WB,WEST,WEST,45.61862,-122.63422,1.55,-122.642301,45.618626,SR 14
22166,114P04366,Westbound,1502,51,WA-14,WEST,WB,WEST,WEST,45.61862,-122.63422,1.55,-122.642301,45.618626,SR 14
22166,114P04366,Westbound,1502,51,WA-14,WEST,WB,WEST,WEST,45.61862,-122.63422,1.55,-122.642301,45.618626,SR 14
22169,114+04364,Westbound,1527,50,WA-14,EAST,EB,EAST,WEST,45.60731,-122.56704,4.32,-122.586247,45.611206,SR 14
22169,114+04364,Westbound,1527,50,WA-14,EAST,EB,EAST,WEST,45.60731,-122.56704,4.32,-122.586247,45.611206,SR 14
22170,114+04367,Westbound,1629,50,WA-14,EAST,EB,EAST,WEST,45.61886,-122.65935,0.58,-122.661752,45.61918,SR 14
22170,114+04367,Westbound,1629,50,WA-14,EAST,EB,EAST,WEST,45.61886,-122.65935,0.58,-122.661752,45.61918,SR 14
22173,114+04470,Northbound,1627,501,I-5,NORTH,NB,NORTH,NORTH,45.6411,-122.66174,2.1,-122.661642,45.646419,WA I-5
22173,114+04470,Northbound,1627,501,I-5,NORTH,NB,NORTH,NORTH,45.6411,-122.66174,2.1,-122.661642,45.646419,WA I-5
22350,114P04365,Westbound,1602,51,WA-14,WEST,WB,WEST,WEST,45.61317,-122.59964,3.05,-122.61214,45.615296,SR 14
22350,114P04365,Westbound,1602,51,WA-14,WEST,WB,WEST,WEST,45.61317,-122.59964,3.05,-122.61214,45.615296,SR 14
