,Tmc,Direction,stationid,highwayid,RoadNumb_1,direction,bound,standardized_direction_portal,standardized_direction_inrix,StartLat,StartLong,milepost,lon,lat,highwayname
10374,114N04404,Southbound,1049,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.59852,-122.55074,24.77,-122.54886786424,45.5719093468691,I-205
10374,114N04404,Southbound,1049,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.59852,-122.55074,24.77,-122.54886786424,45.5719093468691,I-205
10374,114N04404,Southbound,1049,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.59852,-122.55074,24.77,-122.54886786424,45.5719093468691,I-205
10374,114N04404,Southbound,1609,55,I-205,SOUTH,SB,SOUTH,SOUTH,45.59852,-122.55074,27.26,-122.552132,45.606709,WA I-205
10532,114N04456,Southbound,1035,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.53824,-122.66963,302.17,-122.665358982962,45.5311420981339,I-5
10532,114N04456,Southbound,1035,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.53824,-122.66963,302.17,-122.665358982962,45.5311420981339,I-5
10532,114N04456,Southbound,1035,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.53824,-122.66963,302.17,-122.665358982962,45.5311420981339,I-5
10532,114N04456,Southbound,1035,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.53824,-122.66963,302.17,-122.665358982962,45.5311420981339,I-5
10785,114-04463,Southbound,1027,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.6018,-122.68353,307.35,-122.68328042635,45.6027672392601,I-5
10785,114-04463,Southbound,1027,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.6018,-122.68353,307.35,-122.68328042635,45.6027672392601,I-5
10785,114-04463,Southbound,1027,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.6018,-122.68353,307.35,-122.68328042635,45.6027672392601,I-5
10817,114-04461,Southbound,3173,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.58169,-122.6787,305.6,-122.678728239481,45.5787077693678,I-5
10817,114-04461,Southbound,3173,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.58169,-122.6787,305.6,-122.678728239481,45.5787077693678,I-5
10817,114-04461,Southbound,3173,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.58169,-122.6787,305.6,-122.678728239481,45.5787077693678,I-5
11544,114-04402,Southbound,1050,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.56742,-122.55483,24.66,-122.552076204132,45.5694761103253,I-205
11544,114-04402,Southbound,1050,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.56742,-122.55483,24.66,-122.552076204132,45.5694761103253,I-205
11985,114+04401,Northbound,3106,3,I-205,NORTH,NB,NORTH,NORTH,45.55027,-122.56183,23.27,-122.566777608373,45.5556155337891,I-205
11985,114+04401,Northbound,3106,3,I-205,NORTH,NB,NORTH,NORTH,45.55027,-122.56183,23.27,-122.566777608373,45.5556155337891,I-205
11985,114+04401,Northbound,3106,3,I-205,NORTH,NB,NORTH,NORTH,45.55027,-122.56183,23.27,-122.566777608373,45.5556155337891,I-205
